epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8503,1.96382,4.04355,1.95225,0.00645,0.33333,0.0066,0.0021,2.39325,9.69731,2.41753,0.0005,0.0005,0.0955
2,94.9999,2.08768,3.40674,2.22469,0.00303,0.08333,0.00131,0.00035,3.83966,194.586,13.5514,0.00109973,0.00109973,0.0900997
3,140.447,2.47547,3.35567,2.44793,0.00173,0.08333,0.00055,6e-05,4.22282,16193.5,173.949,0.00169834,0.00169834,0.0846983
4,185.37,2.52568,3.46578,2.53771,0.00119,0.08333,0.00047,9e-05,5.35489,146868,18.9917,0.00229495,0.00229495,0.0792949
5,231.138,2.56858,3.47797,2.64103,0,0,0,0,5.72729,852187,74.0396,0.00288868,0.00288868,0.0738887
6,275.312,2.48565,3.38174,2.62858,0,0,0,0,0,1.00657e+08,0,0.00347867,0.00347867,0.0684787
7,320.475,2.48127,3.39707,2.5815,0.00067,0.08333,0.00038,4e-05,5.28139,2.16404e+07,6726.44,0.00406405,0.00406405,0.0630641
8,370.774,2.55792,3.35651,2.63887,0,0,0,0,5.91472,1.45893e+09,38812.7,0.00464397,0.00464397,0.057644
9,414.858,2.60256,3.38042,2.68742,0,0,0,0,4.71083,4.3962e+07,49675.8,0.00521758,0.00521758,0.0522176
10,457.388,2.5738,3.30748,2.67466,0,0,0,0,0,15744.5,0,0.00578404,0.00578404,0.046784
11,500.176,2.55447,3.31323,2.66861,0,0,0,0,0,2.29808e+06,0,0.00634252,0.00634252,0.0413425
12,544.874,2.63321,3.4876,2.7563,0,0,0,0,6.55748,2.2492e+08,21574.4,0.00689223,0.00689223,0.0358922
13,588.626,2.55547,3.32044,2.66967,0,0,0,0,0,0,0,0.00743234,0.00743234,0.0304323
14,632.083,2.5535,3.27839,2.63844,0,0,0,0,0,0,0,0.00796209,0.00796209,0.0249621
15,674.851,2.45497,3.35028,2.61903,0,0,0,0,0,0,0,0.00848072,0.00848072,0.0194807
16,718.427,2.51294,3.44883,2.64036,0,0,0,0,0,0,0,0.00898746,0.00898746,0.0139875
17,762.181,2.47926,3.31551,2.5443,0,0,0,0,0,1074.07,0,0.00938772,0.00938772,0.00938772
18,805.664,2.59399,3.35804,2.65057,0,0,0,0,0,49640.8,0,0.00931067,0.00931067,0.00931067
19,849.046,2.47486,3.18787,2.56659,0,0,0,0,0,18329.4,0,0.00922942,0.00922942,0.00922942
20,892.509,2.55232,3.17921,2.60707,0,0,0,0,0,94.0464,0,0.00914405,0.00914405,0.00914405
21,936.33,2.44666,3.19574,2.56678,0,0,0,0,0,4.38238,0,0.00905463,0.00905463,0.00905463
22,979.393,2.43787,3.32733,2.59067,0,0,0,0,0,5e-05,0,0.00896127,0.00896127,0.00896127
23,1022.45,2.34506,3.113,2.51884,0,0,0,0,4.11745,10.3527,4.87945,0.00886404,0.00886404,0.00886404
24,1066.05,2.45135,3.25048,2.52735,0,0,0,0,4.56916,173.493,4.63142,0.00876305,0.00876305,0.00876305
25,1108.99,2.33801,3.01265,2.43296,0,0,0,0,5.50761,2326.31,87.9835,0.00865839,0.00865839,0.00865839
26,1155.92,2.38531,3.10327,2.47454,0.00583,0.16667,0.00264,0.00044,4.16806,5854.41,17.3255,0.00855018,0.00855018,0.00855018
27,1204.19,2.30752,3.197,2.44406,0.00568,0.16667,0.00297,0.00072,4.43922,3952.64,8.61252,0.00843851,0.00843851,0.00843851
28,1252.55,2.3059,3.24211,2.44007,0.01205,0.33333,0.00921,0.00345,2.98381,325.53,4.22867,0.00832349,0.00832349,0.00832349
29,1300.71,2.28235,3.02587,2.38871,0.02126,0.33333,0.02246,0.00702,3.04324,82.2216,4.13666,0.00820525,0.00820525,0.00820525
30,1348.65,2.24255,3.03791,2.39728,0.10832,0.16667,0.0568,0.00809,3.96198,7.27841,8.08211,0.00808389,0.00808389,0.00808389
31,1396.85,2.39069,3.18874,2.44093,0.00119,0.08333,0.0008,0.00018,4.23478,9.45803,10.0803,0.00795954,0.00795954,0.00795954
32,1444.96,2.28212,3.14,2.38149,0.01386,0.08333,0.00384,0.00119,3.79836,8.86097,5.26607,0.00783231,0.00783231,0.00783231
33,1493.54,2.2532,2.93623,2.30094,0.02875,0.08333,0.00819,0.0022,3.24198,10.0608,3.8017,0.00770234,0.00770234,0.00770234
34,1542.25,2.21484,3.03343,2.28992,0.04277,0.08333,0.01955,0.00549,2.78713,12.4924,3.01526,0.00756976,0.00756976,0.00756976
35,1590.15,2.2019,2.94131,2.24998,0.05007,0.16667,0.02556,0.00968,2.4196,10.0408,2.51005,0.00743468,0.00743468,0.00743468
36,1638.03,2.25464,2.91809,2.28866,0.04123,0.41667,0.02354,0.00719,2.69459,9.46916,2.73367,0.00729725,0.00729725,0.00729725
37,1686.3,2.20082,2.84438,2.27595,0.05912,0.5,0.03115,0.01131,2.42621,8.09192,2.71779,0.00715761,0.00715761,0.00715761
38,1734.55,2.35401,3.06091,2.33198,0.10827,0.66667,0.08549,0.02045,2.32288,5.49462,2.69054,0.00701588,0.00701588,0.00701588
39,1782.49,2.19554,2.80507,2.25826,0.13635,0.23736,0.08047,0.02228,2.45771,6.8825,2.78454,0.00687222,0.00687222,0.00687222
40,1830.94,2.21623,2.96741,2.28205,0.11243,0.28568,0.06912,0.02261,2.46166,8.52979,2.84678,0.00672675,0.00672675,0.00672675
41,1879.67,2.24076,2.9025,2.31528,0.10237,0.41667,0.06992,0.03075,2.35809,4.54502,2.81637,0.00657963,0.00657963,0.00657963
42,1927.88,2.18608,2.96684,2.26812,0.11874,0.25,0.08187,0.02043,2.4759,5.09619,2.71451,0.00643101,0.00643101,0.00643101
43,1975.81,2.20885,2.87517,2.34739,0.18058,0.25,0.08243,0.02137,2.49613,5.20634,2.80172,0.00628101,0.00628101,0.00628101
44,2024.32,2.08709,2.84037,2.19904,0.18207,0.41667,0.13948,0.04501,2.44062,5.40624,2.79416,0.00612981,0.00612981,0.00612981
45,2072.55,2.14715,2.85388,2.2159,0.17715,0.35955,0.1489,0.04758,2.46062,4.99864,2.87802,0.00597754,0.00597754,0.00597754
46,2120.81,2.11152,2.76572,2.18067,0.25899,0.33333,0.19507,0.05623,2.44529,4.8102,2.73761,0.00582435,0.00582435,0.00582435
47,2168.33,2.16568,2.89592,2.2733,0.16089,0.41667,0.1395,0.04929,2.49947,4.30167,2.76161,0.0056704,0.0056704,0.0056704
48,2216.28,2.06295,2.76821,2.15719,0.27188,0.25,0.18403,0.03176,2.40468,3.61062,2.96566,0.00551584,0.00551584,0.00551584
49,2264.44,2.07602,2.66764,2.15928,0.10994,0.25,0.08275,0.02399,2.28234,3.53307,2.81802,0.00536081,0.00536081,0.00536081
50,2312.28,2.12122,2.69024,2.13612,0.15529,0.58333,0.11453,0.02984,2.29235,3.48749,2.4269,0.00520548,0.00520548,0.00520548
51,2360.14,2.0507,2.68935,2.14193,0.22806,0.33333,0.24778,0.06227,2.29596,3.53667,2.39216,0.00505,0.00505,0.00505
52,2408.42,2.13606,2.7616,2.1679,0.23852,0.33333,0.20087,0.06076,2.17677,4.41063,2.44658,0.00489452,0.00489452,0.00489452
53,2456.93,2.17892,2.77263,2.19892,0.22328,0.41667,0.22537,0.06664,2.20142,3.83661,2.53299,0.00473919,0.00473919,0.00473919
54,2504.52,2.06413,2.65359,2.14996,0.24257,0.33333,0.20994,0.06623,2.15902,3.2607,2.37337,0.00458416,0.00458416,0.00458416
55,2552.04,2.21078,2.82114,2.24953,0.2485,0.33333,0.21492,0.07414,2.14728,3.21411,2.33995,0.0044296,0.0044296,0.0044296
56,2600.06,1.97558,2.67157,2.07407,0.22397,0.33333,0.13143,0.04425,2.29669,3.38175,2.41572,0.00427565,0.00427565,0.00427565
57,2647.39,2.08118,2.77992,2.12692,0.17799,0.33333,0.09812,0.03552,2.34779,3.47547,2.44898,0.00412246,0.00412246,0.00412246
58,2694.82,1.96764,2.63543,2.03564,0.17975,0.33333,0.12367,0.03514,2.41452,3.61614,2.45569,0.00397019,0.00397019,0.00397019
59,2742.18,2.11764,2.68223,2.11269,0.15536,0.25,0.1203,0.04034,2.40233,3.60966,2.39295,0.00381899,0.00381899,0.00381899
60,2790.17,2.03831,2.7092,2.12953,0.1921,0.25,0.09994,0.04196,2.24147,3.42998,2.23905,0.00366899,0.00366899,0.00366899
61,2837.8,2.08546,2.69285,2.10714,0.27155,0.33333,0.14292,0.06403,2.11397,3.48848,2.20824,0.00352037,0.00352037,0.00352037
62,2885.23,2.04812,2.60714,2.12004,0.43112,0.25,0.23096,0.10472,2.07804,3.2629,2.1637,0.00337325,0.00337325,0.00337325
63,2932.84,2.09565,2.64067,2.07856,0.38689,0.33333,0.22143,0.10936,2.11192,3.25525,2.16039,0.00322778,0.00322778,0.00322778
64,2980.73,1.95345,2.51615,2.03335,0.31255,0.34151,0.25046,0.10094,2.05689,3.16378,2.06819,0.00308412,0.00308412,0.00308412
65,3028.1,1.95265,2.61297,1.9607,0.36238,0.41667,0.25231,0.10669,2.03489,3.0242,2.07358,0.00294239,0.00294239,0.00294239
66,3075.74,1.94926,2.52363,2.00708,0.50637,0.34289,0.37841,0.17648,2.17835,2.77394,2.15808,0.00280275,0.00280275,0.00280275
67,3122.1,1.97557,2.46203,2.0702,0.55371,0.4139,0.46549,0.22886,2.06423,2.64925,2.12953,0.00266532,0.00266532,0.00266532
68,3158.69,1.99669,2.60182,1.99187,0.42928,0.5,0.48322,0.26077,1.94553,2.4997,2.10378,0.00253024,0.00253024,0.00253024
69,3188.15,1.92882,2.5113,1.99288,0.71038,0.5,0.53309,0.28292,1.89423,2.57246,2.04017,0.00239766,0.00239766,0.00239766
70,3217.83,1.98443,2.57007,2.03317,0.58085,0.41667,0.4912,0.24914,1.88618,2.51627,2.00186,0.00226769,0.00226769,0.00226769
71,3247.09,1.90724,2.50562,1.99161,0.62333,0.41407,0.46094,0.22675,1.88869,2.53699,2.0217,0.00214046,0.00214046,0.00214046
72,3276.62,1.95827,2.43866,1.97592,0.59731,0.5,0.48482,0.18801,1.9513,2.50683,2.05005,0.00201611,0.00201611,0.00201611
73,3305.79,1.95569,2.4113,1.96973,0.5693,0.58333,0.48224,0.17206,1.97852,2.4575,2.07769,0.00189475,0.00189475,0.00189475
74,3335.05,1.9554,2.62277,2.01508,0.52973,0.5,0.41995,0.17074,1.88739,2.47473,2.01223,0.00177651,0.00177651,0.00177651
75,3364.62,1.98044,2.46325,1.98692,0.49471,0.5,0.39702,0.15595,1.8341,2.53223,1.98528,0.00166149,0.00166149,0.00166149
76,3394.29,1.93319,2.52549,1.93693,0.688,0.55333,0.46867,0.2081,1.71705,2.59823,1.89577,0.00154982,0.00154982,0.00154982
77,3423.74,1.98313,2.50034,2.0022,0.66828,0.58333,0.4792,0.23229,1.72408,2.64489,1.91055,0.00144161,0.00144161,0.00144161
78,3453.44,1.93736,2.43037,1.95768,0.53988,0.58333,0.42425,0.21205,1.8246,2.64491,1.97873,0.00133695,0.00133695,0.00133695
79,3482.71,1.99572,2.49039,2.0251,0.43804,0.5,0.39319,0.19604,1.90281,2.65835,2.01762,0.00123596,0.00123596,0.00123596
80,3512.13,1.86705,2.4755,1.93308,0.42971,0.44088,0.36083,0.16851,1.96554,2.80377,2.09942,0.00113873,0.00113873,0.00113873
81,3541.43,1.94638,2.41598,1.98063,0.42339,0.5,0.29247,0.13485,1.95658,2.79021,2.0887,0.00104537,0.00104537,0.00104537
82,3571.24,1.83594,2.28328,1.86664,0.41095,0.5,0.30592,0.14171,1.92836,2.67632,2.05605,0.000955951,0.000955951,0.000955951
83,3601.02,1.89213,2.36041,1.97157,0.41625,0.5,0.30712,0.14063,1.94229,2.64321,2.0573,0.000870577,0.000870577,0.000870577
84,3630.61,1.89602,2.43887,1.93459,0.42619,0.5,0.36779,0.17417,1.95265,2.62819,2.04851,0.000789327,0.000789327,0.000789327
85,3660.19,1.93395,2.47932,1.95086,0.47517,0.5,0.39102,0.19457,1.89545,2.56325,1.9676,0.000712282,0.000712282,0.000712282
86,3689.31,1.85642,2.48841,1.90535,0.53425,0.5,0.44403,0.22075,1.82742,2.51901,1.90774,0.000639518,0.000639518,0.000639518
87,3718.42,1.89175,2.33494,1.93163,0.56271,0.5,0.4668,0.22629,1.80539,2.52306,1.89603,0.000571106,0.000571106,0.000571106
88,3747.89,1.86297,2.43194,1.8948,0.56133,0.5,0.47127,0.23418,1.77045,2.47919,1.86763,0.000507115,0.000507115,0.000507115
89,3777.43,1.89793,2.38809,1.92058,0.57548,0.5,0.49947,0.24788,1.75977,2.43495,1.84988,0.000447606,0.000447606,0.000447606
90,3807.18,1.8603,2.48537,1.95169,0.58099,0.58333,0.52238,0.25785,1.75704,2.41239,1.82977,0.00039264,0.00039264,0.00039264
91,3836.87,1.85292,2.44418,1.90555,0.57026,0.58333,0.55172,0.27477,1.74577,2.39148,1.81361,0.00034227,0.00034227,0.00034227
92,3866.38,1.88416,2.5458,1.97831,0.72445,0.5,0.55324,0.26479,1.73688,2.36482,1.80915,0.000296546,0.000296546,0.000296546
93,3895.33,1.87471,2.52742,1.97454,0.7129,0.5,0.55342,0.26337,1.74167,2.35188,1.816,0.000255513,0.000255513,0.000255513
94,3925.02,1.87836,2.49899,1.95017,0.75405,0.5,0.56076,0.28006,1.73657,2.34589,1.81373,0.000219212,0.000219212,0.000219212
95,3954.11,1.77077,2.47376,1.91829,0.76242,0.5,0.56186,0.28186,1.73198,2.34815,1.8125,0.000187678,0.000187678,0.000187678
96,3983.12,1.83459,2.473,1.95782,0.77301,0.5,0.57155,0.28631,1.73336,2.36033,1.82696,0.000160943,0.000160943,0.000160943
97,4012.41,1.88067,2.5269,1.95839,0.76719,0.5,0.57135,0.28622,1.72397,2.3568,1.82463,0.000139032,0.000139032,0.000139032
98,4041.51,1.86411,2.50043,1.94509,0.77261,0.5,0.57327,0.28695,1.71819,2.37064,1.83319,0.000121968,0.000121968,0.000121968
99,4070.68,1.78343,2.36824,1.93031,0.774,0.5,0.57306,0.2827,1.71228,2.36954,1.82977,0.000109768,0.000109768,0.000109768
100,4099.76,1.84752,2.36278,1.9555,0.78055,0.5,0.56933,0.28126,1.70683,2.3773,1.83192,0.000102443,0.000102443,0.000102443
